generation,min_fitness,avg_fitness,max_fitness
261,-166.26,46.30,231.84
262,-129.07,19.59,222.99
263,-149.70,37.29,236.88
264,-132.34,25.03,227.83
265,-167.86,67.40,233.03
266,-134.97,19.52,216.73
267,-127.56,34.49,235.30
268,-138.48,56.13,227.02
269,-168.97,39.56,231.83
270,-132.61,45.95,241.72
271,-142.10,53.88,251.81
272,-121.30,55.17,236.44
273,-155.59,37.74,232.88
274,-153.49,51.86,222.81
275,-168.03,34.27,230.09
276,-158.91,67.24,230.56
277,-169.12,74.87,242.46
278,-139.21,39.46,243.19
279,-175.99,48.23,239.04
280,-121.78,51.50,236.23
281,-162.92,62.29,218.84
282,-192.37,33.97,238.69
283,-161.94,61.02,223.41
284,-124.46,86.01,245.84
285,-164.72,48.60,232.11
286,-133.52,37.85,234.78
287,-175.90,66.80,228.68
288,-125.50,60.58,231.95
289,-156.77,75.21,240.69
290,-127.40,55.34,234.18
291,-154.86,58.94,238.25
292,-143.56,66.85,239.39
293,-143.87,56.55,230.22
294,-153.10,78.45,225.71
295,-158.73,49.25,225.01
296,-167.22,41.57,239.51
297,-126.97,63.73,246.94
298,-146.71,65.72,233.89
299,-126.50,54.88,247.31
300,-155.95,52.65,243.38
