generation,min_fitness,avg_fitness,max_fitness
294,-122.88,179.68,278.72
295,-134.74,169.58,275.54
296,-131.91,162.21,276.79
297,-131.55,166.97,273.35
298,-136.35,150.23,276.05
299,-124.78,173.74,275.61
300,-133.79,178.01,280.67
301,-125.67,139.54,277.24
302,-155.86,157.52,279.04
303,-141.39,164.29,281.73
304,-133.11,150.43,279.01
305,-162.65,142.66,282.15
306,-106.92,191.99,277.37
307,-114.92,185.45,277.70
308,-129.86,155.46,279.70
309,-121.92,162.22,277.70
310,-122.29,169.69,274.62
311,-101.72,193.81,280.11
312,-104.20,182.77,281.41
313,-113.48,193.67,280.91
314,-158.89,159.81,278.59
315,-116.60,199.83,280.12
316,-105.28,186.42,278.64
317,-120.74,198.90,283.91
318,-105.24,199.72,280.58
319,-113.81,181.88,278.62
320,-131.62,166.53,280.76
321,-122.94,186.29,280.62
322,-125.55,180.01,279.38
323,-123.91,179.93,279.81
324,-115.85,167.68,280.20
325,-122.80,184.93,280.08
326,-140.92,175.66,279.14
327,-131.13,178.98,276.57
328,-115.52,192.61,280.84
329,-126.78,160.51,280.11
330,-115.79,192.82,275.91
331,-109.60,174.28,274.95
332,-112.08,211.06,276.98
333,-129.00,183.09,277.33
334,-119.56,162.46,277.99
335,-119.62,191.61,276.83
336,-165.46,179.19,280.96
337,-156.05,168.76,282.69
